List of gene ontology (GO) terms and the difference in abundances (RT - SC) between proteins with them.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(RT abundance) - (SC abundance) / sqrt(2)
GO Term Identifier,GO Term Obsolete,GO Term Name,GO Term Namespace,GO Term Description,Parents Name,Parents Identifier,Parents Namespace,Parents Description,kids,median dist from 45-degree,proteins w/ term or its kids,higher RT or SC?,is metabolic process?,involved in generating precursor metabolites/energy?,kids2,net dist from 45-degree
GO:0002949,FALSE,tRNA threonylcarbamoyladenosine modification,biological_process,"The attachment of a carbonyl group and a threonine to the amino group of the adenine residue immediately 3' of the anticodon, in tRNAs that decode ANN codons (where N is any base).",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0002949; GO:0072670,0,0,equal in both,1,GO:0072670,GO:0072670,0
GO:0005979,FALSE,regulation of glycogen biosynthetic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glycogen.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005979; GO:0045719,0,0,equal in both,1,GO:0045719,GO:0045719,0
GO:0005981,FALSE,regulation of glycogen catabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of glycogen.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005981; GO:0045819,0,0,equal in both,1,GO:0045819,GO:0045819,0
GO:0005986,FALSE,sucrose biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of sucrose, the disaccharide fructofuranosyl-glucopyranoside.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005986,0,0,equal in both,1,,#CALC!,0
GO:0005987,FALSE,sucrose catabolic process,biological_process,"The chemical reactions and pathways resulting in the breakdown of sucrose, the disaccharide fructofuranosyl-glucopyranoside.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005987,0,0,equal in both,1,,#CALC!,0
GO:0006012,FALSE,galactose metabolic process,biological_process,"The chemical reactions and pathways involving galactose, the aldohexose galacto-hexose. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006012; GO:0019388; GO:0033499,0,0,equal in both,1,"GO:0019388,GO:0033499",GO:0019388; GO:0033499,0
GO:0006039,FALSE,cell wall chitin catabolic process,biological_process,"The chemical reactions and pathways resulting in the breakdown of cell wall chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues, found in the walls of cells.",aminoglycan catabolic process,GO:0006026,biological_process,"The chemical reactions and pathways resulting in the breakdown of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.",GO:0006039,0,0,equal in both,1,,#CALC!,0
GO:0006062,FALSE,sorbitol catabolic process,biological_process,"The chemical reactions and pathways resulting in the breakdown of sorbitol (D-glucitol), one of the ten stereoisomeric hexitols. It can be derived from glucose by reduction of the aldehyde group.",alcohol catabolic process,GO:0046164,biological_process,"The chemical reactions and pathways resulting in the breakdown of alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom.",GO:0006062,0,0,equal in both,1,,#CALC!,0
GO:0006080,FALSE,substituted mannan metabolic process,biological_process,"The chemical reactions and pathways involving a mannan backbone composed of D-mannose unites, substituted with D-glucose and/or D-galactose units.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006080,0,0,equal in both,1,,#CALC!,0
GO:0006111,FALSE,regulation of gluconeogenesis,biological_process,"Any process that modulates the frequency, rate or extent of gluconeogenesis, the formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006111; GO:0045721; GO:0045722,0,0,equal in both,1,"GO:0045721,GO:0045722",GO:0045721; GO:0045722,0
GO:0006114,FALSE,glycerol biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of glycerol, 1,2,3-propanetriol, a sweet, hygroscopic, viscous liquid, widely distributed in nature as a constituent of many lipids.",alcohol biosynthetic process,GO:0046165,biological_process,"The chemical reactions and pathways resulting in the formation of alcohols, any of a class of compounds containing one or more hydroxyl groups attached to a saturated carbon atom.",GO:0006114,0,0,equal in both,1,,#CALC!,0
GO:0006120,FALSE,"mitochondrial electron transport, NADH to ubiquinone",biological_process,The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation.,aerobic electron transport chain,GO:0019646,biological_process,A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient.,GO:0006120,0,0,equal in both,1,,#CALC!,0
GO:0006791,FALSE,sulfur utilization,biological_process,"A series of processes that forms an integrated mechanism by which a cell or an organism detects the depletion of primary sulfur sources and then activates genes to scavenge the last traces of the primary sulfur source and to transport and metabolize alternate sulfur sources. The utilization process begins when the cell or organism detects sulfur levels, includes the activation of genes whose products detect, transport or metabolize sulfur-containing compounds, and ends when the sulfur is incorporated into the cell or organism's metabolism.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006791,0,0,equal in both,#CALC!,,#CALC!,0
GO:0006141,FALSE,regulation of purine nucleobase metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving purines.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006141,0,0,equal in both,1,,#CALC!,0
GO:0006190,FALSE,inosine salvage,biological_process,"Any process that generates inosine, hypoxanthine riboside, from derivatives of it without de novo synthesis.",aromatic compound biosynthetic process,GO:0019438,biological_process,"The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring.",GO:0006190,0,0,equal in both,1,,#CALC!,0
GO:0006264,FALSE,mitochondrial DNA replication,biological_process,The process in which new strands of DNA are synthesized in the mitochondrion.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006264; GO:0090297,0,0,equal in both,1,GO:0090297,GO:0090297,0
GO:0006265,FALSE,DNA topological change,biological_process,"The process in which a transformation is induced in the topological structure of a double-stranded DNA helix, resulting in a change in linking number.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006265,0,0,equal in both,1,,#CALC!,0
GO:0006266,FALSE,DNA ligation,biological_process,"The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006266; GO:0051103; GO:1904876,0,0,equal in both,1,"GO:0051103,GO:1904876",GO:0051103; GO:1904876,0
GO:0006267,FALSE,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,biological_process,"The aggregation, arrangement and bonding together of a set of components to form the nuclear pre-replicative complex, a protein-DNA complex that forms at the eukaryotic DNA replication origin and is required for replication initiation.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006267,0,0,equal in both,1,,#CALC!,0
GO:0006268,FALSE,DNA unwinding involved in DNA replication,biological_process,"The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating unpaired template strands for DNA replication.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006268,0,0,equal in both,1,,#CALC!,0
GO:0006808,FALSE,regulation of nitrogen utilization,biological_process,"Any process that modulates the frequency, rate or extent of nitrogen utilization.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0001079; GO:0001080; GO:0001081; GO:0006808; GO:0090295,0,0,equal in both,#CALC!,"GO:0001079,GO:0001080,GO:0001081,GO:0090295",GO:0001079; GO:0001080; GO:0001081; GO:0090295,0
GO:0006269,FALSE,"DNA replication, synthesis of RNA primer",biological_process,"The synthesis of a short RNA polymer, usually 4-15 nucleotides long, using one strand of unwound DNA as a template; the RNA then serves as a primer from which DNA polymerases extend synthesis.",aromatic compound biosynthetic process,GO:0019438,biological_process,"The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring.",GO:0006269,0,0,equal in both,1,,#CALC!,0
GO:0006811,FALSE,monoatomic ion transport,biological_process,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006811; GO:0006813; GO:0006814; GO:0006816; GO:0006820; GO:0006824; GO:0006825; GO:0006826; GO:0006828; GO:0006829; GO:0010155; GO:0015677; GO:0015691; GO:0015886; GO:0015891; GO:0015990; GO:0030001; GO:0032472; GO:0033215; GO:0034220; GO:0034755; GO:0034756; GO:0034758; GO:0035725; GO:0036376; GO:0045016; GO:0048250; GO:0051209; GO:0060003; GO:0070588; GO:0071421; GO:0071577; GO:0071578; GO:0071805; GO:0097553; GO:0097623; GO:0098703; GO:0098706; GO:0120029; GO:0140466; GO:1902476; GO:1902497; GO:1902600; GO:1904257; GO:1990573,1.39243E-05,28,RT,#CALC!,"GO:0006813,GO:0006814,GO:0006816,GO:0006820,GO:0006824,GO:0006825,GO:0006826,GO:0006828,GO:0006829,GO:0010155,GO:0015677,GO:0015691,GO:0015886,GO:0015891,GO:0015990,GO:0030001,GO:0032472,GO:0033215,GO:0034220,GO:0034755,GO:0034756,GO:0034758,GO:0035725,GO:0036376,GO:0045016,GO:0048250,GO:0051209,GO:0060003,GO:0070588,GO:0071421,GO:0071577,GO:0071578,GO:0071805,GO:0097553,GO:0097623,GO:0098703,GO:0098706,GO:0120029,GO:0140466,GO:1902476,GO:1902497,GO:1902600,GO:1904257,GO:1990573",GO:0006813; GO:0006814; GO:0006816; GO:0006820; GO:0006824; GO:0006825; GO:0006826; GO:0006828; GO:0006829; GO:0010155; GO:0015677; GO:0015691; GO:0015886; GO:0015891; GO:0015990; GO:0030001; GO:0032472; GO:0033215; GO:0034220; GO:0034755; GO:0034756; GO:0034758; GO:0035725; GO:0036376; GO:0045016; GO:0048250; GO:0051209; GO:0060003; GO:0070588; GO:0071421; GO:0071577; GO:0071578; GO:0071805; GO:0097553; GO:0097623; GO:0098703; GO:0098706; GO:0120029; GO:0140466; GO:1902476; GO:1902497; GO:1902600; GO:1904257; GO:1990573,0.003297505
GO:0006813,FALSE,potassium ion transport,biological_process,"The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006813; GO:0071805; GO:0097623; GO:1990573,8.51034E-05,2,RT,#CALC!,"GO:0071805,GO:0097623,GO:1990573",GO:0071805; GO:0097623; GO:1990573,0.000170207
GO:0006814,FALSE,sodium ion transport,biological_process,"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006814; GO:0035725; GO:0036376,8.51034E-05,2,RT,#CALC!,"GO:0035725,GO:0036376",GO:0035725; GO:0036376,0.000170207
GO:0006816,FALSE,calcium ion transport,biological_process,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006816; GO:0032472; GO:0051209; GO:0070588; GO:0097553; GO:0098703,0,0,equal in both,#CALC!,"GO:0032472,GO:0051209,GO:0070588,GO:0097553,GO:0098703",GO:0032472; GO:0051209; GO:0070588; GO:0097553; GO:0098703,0
GO:0006817,FALSE,phosphate ion transport,biological_process,"The directed movement of phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006817; GO:0035435; GO:1990547; GO:2000185,1.09338E-05,3,RT,#CALC!,"GO:0035435,GO:1990547,GO:2000185",GO:0035435; GO:1990547; GO:2000185,0.000955866
GO:0006820,FALSE,monoatomic anion transport,biological_process,"The directed movement of a monoatomic anion, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic anions (also called simple anions) are negatively charged ions consisting of exactly one atom.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006820; GO:1902476,0,0,equal in both,#CALC!,GO:1902476,GO:1902476,0
GO:0006824,FALSE,cobalt ion transport,biological_process,"The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006824,0,0,equal in both,#CALC!,,#CALC!,0
GO:0006825,FALSE,copper ion transport,biological_process,"The directed movement of copper (Cu) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006825; GO:0015677; GO:0060003,0,0,equal in both,#CALC!,"GO:0015677,GO:0060003",GO:0015677; GO:0060003,0
GO:0006826,FALSE,iron ion transport,biological_process,"The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006826; GO:0015886; GO:0015891; GO:0033215; GO:0034755; GO:0034756; GO:0034758; GO:0048250; GO:0098706; GO:0140466; GO:1902497,0.000530626,3,RT,#CALC!,"GO:0015886,GO:0015891,GO:0033215,GO:0034755,GO:0034756,GO:0034758,GO:0048250,GO:0098706,GO:0140466,GO:1902497",GO:0015886; GO:0015891; GO:0033215; GO:0034755; GO:0034756; GO:0034758; GO:0048250; GO:0098706; GO:0140466; GO:1902497,0.004944001
GO:0006828,FALSE,manganese ion transport,biological_process,"The directed movement of manganese (Mn) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006828; GO:0071421,0,0,equal in both,#CALC!,GO:0071421,GO:0071421,0
GO:0006829,FALSE,zinc ion transport,biological_process,"The directed movement of zinc (Zn II) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006829; GO:0071577; GO:0071578; GO:1904257,0,0,equal in both,#CALC!,"GO:0071577,GO:0071578,GO:1904257",GO:0071577; GO:0071578; GO:1904257,0
GO:0006833,FALSE,water transport,biological_process,"The directed movement of water (H2O) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006833,0,0,equal in both,#CALC!,,#CALC!,0
GO:0006835,FALSE,dicarboxylic acid transport,biological_process,"The directed movement of dicarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006835; GO:0015723; GO:0015729; GO:0015742; GO:0015810; GO:0015813; GO:0034659; GO:0071422; GO:0071423,6.21847E-06,6,RT,#CALC!,"GO:0015723,GO:0015729,GO:0015742,GO:0015810,GO:0015813,GO:0034659,GO:0071422,GO:0071423",GO:0015723; GO:0015729; GO:0015742; GO:0015810; GO:0015813; GO:0034659; GO:0071422; GO:0071423,0.000108706
GO:0006839,FALSE,mitochondrial transport,biological_process,"Transport of substances into, out of or within a mitochondrion.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006839; GO:0006843; GO:0006850; GO:0016031; GO:0030150; GO:0043490; GO:0045016; GO:0045039; GO:0045040; GO:0045041; GO:0046902; GO:0048250; GO:0090374; GO:0140021; GO:0140466; GO:1904983; GO:1990519; GO:1990542; GO:1990544; GO:1990547; GO:1990549; GO:1990575,3.73083E-05,12,RT,#CALC!,"GO:0006843,GO:0006850,GO:0016031,GO:0030150,GO:0043490,GO:0045016,GO:0045039,GO:0045040,GO:0045041,GO:0046902,GO:0048250,GO:0090374,GO:0140021,GO:0140466,GO:1904983,GO:1990519,GO:1990542,GO:1990544,GO:1990547,GO:1990549,GO:1990575",GO:0006843; GO:0006850; GO:0016031; GO:0030150; GO:0043490; GO:0045016; GO:0045039; GO:0045040; GO:0045041; GO:0046902; GO:0048250; GO:0090374; GO:0140021; GO:0140466; GO:1904983; GO:1990519; GO:1990542; GO:1990544; GO:1990547; GO:1990549; GO:1990575,0.005661773
GO:0006842,FALSE,tricarboxylic acid transport,biological_process,"The directed movement of tricarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006842; GO:0006843,-4.15274E-05,2,SC,#CALC!,GO:0006843,GO:0006843,-8.30548E-05
GO:0006843,FALSE,mitochondrial citrate transmembrane transport,biological_process,"The directed movement of citrate, 2-hydroxy-1,2,3-propanetricarboyxlate, into or out of a mitochondrial matrix.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006843,-4.15274E-05,2,SC,#CALC!,,#CALC!,-8.30548E-05
GO:0006846,FALSE,acetate transport,biological_process,"The directed movement of acetate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",acetate transport,GO:0006846,biological_process,"The directed movement of acetate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0006846,0,0,equal in both,#CALC!,,#CALC!,0
GO:0006849,FALSE,plasma membrane pyruvate transport,biological_process,"The directed movement of pyruvate, 2-oxopropanoate, across a plasma membrane.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006849,0,0,equal in both,#CALC!,,#CALC!,0
GO:0006850,FALSE,mitochondrial pyruvate transmembrane transport,biological_process,"The process in which pyruvate is transported across a mitochondrial membrane, into or out of the mitochondrion.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006850,5.17796E-05,1,RT,#CALC!,,#CALC!,5.17796E-05
GO:0006857,FALSE,oligopeptide transport,biological_process,"The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.",amide transport,GO:0042886,biological_process,"The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0006857; GO:0034775; GO:0042938; GO:0042939; GO:0090089; GO:0090374; GO:0140206,0,0,equal in both,#CALC!,"GO:0034775,GO:0042938,GO:0042939,GO:0090089,GO:0090374,GO:0140206",GO:0034775; GO:0042938; GO:0042939; GO:0090089; GO:0090374; GO:0140206,0
GO:0006864,FALSE,pyrimidine nucleotide transport,biological_process,"The directed movement of a pyrimidine nucleotide, any compound consisting of a pyrimidine nucleoside esterified with (ortho)phosphate, into, out of or within a cell.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0006864; GO:1990519,2.60212E-05,1,RT,#CALC!,GO:1990519,GO:1990519,2.60212E-05
GO:0006865,FALSE,amino acid transport,biological_process,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",amino acid transport,GO:0006865,biological_process,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0003333; GO:0006865; GO:0015801; GO:0015802; GO:0015804; GO:0015810; GO:0015811; GO:0015812; GO:0015813; GO:0015817; GO:0015824; GO:0015827; GO:0015828; GO:0032974; GO:0034488; GO:0098713; GO:0098718; GO:1903826; GO:1904983; GO:1990575,1.34944E-05,10,RT,#CALC!,"GO:0003333,GO:0015801,GO:0015802,GO:0015804,GO:0015810,GO:0015811,GO:0015812,GO:0015813,GO:0015817,GO:0015824,GO:0015827,GO:0015828,GO:0032974,GO:0034488,GO:0098713,GO:0098718,GO:1903826,GO:1904983,GO:1990575",GO:0003333; GO:0015801; GO:0015802; GO:0015804; GO:0015810; GO:0015811; GO:0015812; GO:0015813; GO:0015817; GO:0015824; GO:0015827; GO:0015828; GO:0032974; GO:0034488; GO:0098713; GO:0098718; GO:1903826; GO:1904983; GO:1990575,0.000381844
